,LowerProbability,UpperProbability
0,0.0,0.0
1,0.0137,0.044
2,0.2451,0.3592
3,0.0048,0.0162
4,1.0,1.0
5,0.7657,0.8571
6,0.9972,0.9994
7,0.9157,0.9796
8,0.8643,0.989
9,0.3234,0.4231
10,0.0385,0.078
11,1.0,1.0
12,0.0,0.0001
13,1.0,1.0
14,0.0001,0.0006
15,0.2115,0.3287
16,0.0355,0.093
17,0.0024,0.0057
18,0.0,0.0001
19,0.7989,0.9069
20,1.0,1.0
21,1.0,1.0
22,0.7654,0.8509
23,0.9937,0.9983
24,0.0008,0.0047
25,0.012,0.0246
26,0.0053,0.0212
27,0.0035,0.0181
28,0.4844,0.635
29,0.8606,0.9377
30,0.9962,0.9993
31,0.9123,0.9687
32,1.0,1.0
33,0.3461,0.4697
34,0.0,0.0006
35,0.2519,0.3576
36,0.0,0.0
37,0.996,0.9994
38,0.8627,0.919
39,0.8558,0.9461
40,0.0033,0.0091
41,0.0022,0.0129
42,0.0,0.0
43,0.0099,0.0168
44,0.0082,0.0322
45,0.9999,1.0
46,0.9823,0.9911
47,0.9992,0.9998
48,0.0005,0.0023
49,0.9064,0.9462
50,0.0,0.0
